"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"135","badakhshan_idps","no",96.2,576,"percentage","displaced_outside_prov_org","strata","badakhshan_idps"," ",554,"displaced_outside_prov_org/badakhshan_idps","1",1,NA,NA,"strata","displaced_outside_prov_org"
"136","badakhshan_idps","yes",3.8,576,"percentage","displaced_outside_prov_org","strata","badakhshan_idps"," ",22,"displaced_outside_prov_org/badakhshan_idps","1",2,NA,NA,"strata","displaced_outside_prov_org"
"137","herat_idps","no",22.1,621,"percentage","displaced_outside_prov_org","strata","herat_idps"," ",137,"displaced_outside_prov_org/herat_idps","2",2,NA,NA,"strata","displaced_outside_prov_org"
"138","herat_idps","yes",77.9,621,"percentage","displaced_outside_prov_org","strata","herat_idps"," ",484,"displaced_outside_prov_org/herat_idps","2",1,NA,NA,"strata","displaced_outside_prov_org"
"139","herat_natural_disaster_affected","no",100,480,"percentage","displaced_outside_prov_org","strata","herat_natural_disaster_affected"," ",480,"displaced_outside_prov_org/herat_natural_disaster_affected","3",1,NA,NA,"strata","displaced_outside_prov_org"
"140","herat_natural_disaster_affected","yes",0,480,"percentage","displaced_outside_prov_org","strata","herat_natural_disaster_affected"," ",0,"displaced_outside_prov_org/herat_natural_disaster_affected","3",2,NA,NA,"strata","displaced_outside_prov_org"
"141","jawzjan_idps","no",55.6,590,"percentage","displaced_outside_prov_org","strata","jawzjan_idps"," ",328,"displaced_outside_prov_org/jawzjan_idps","4",1,NA,NA,"strata","displaced_outside_prov_org"
"142","jawzjan_idps","yes",44.4,590,"percentage","displaced_outside_prov_org","strata","jawzjan_idps"," ",262,"displaced_outside_prov_org/jawzjan_idps","4",2,NA,NA,"strata","displaced_outside_prov_org"
"143","kandahar_idps","no",42,553,"percentage","displaced_outside_prov_org","strata","kandahar_idps"," ",232,"displaced_outside_prov_org/kandahar_idps","5",2,NA,NA,"strata","displaced_outside_prov_org"
"144","kandahar_idps","yes",58,553,"percentage","displaced_outside_prov_org","strata","kandahar_idps"," ",321,"displaced_outside_prov_org/kandahar_idps","5",1,NA,NA,"strata","displaced_outside_prov_org"
"145","kandahar_natural_disaster_affected","no",100,493,"percentage","displaced_outside_prov_org","strata","kandahar_natural_disaster_affected"," ",493,"displaced_outside_prov_org/kandahar_natural_disaster_affected","6",1,NA,NA,"strata","displaced_outside_prov_org"
"146","kandahar_natural_disaster_affected","yes",0,493,"percentage","displaced_outside_prov_org","strata","kandahar_natural_disaster_affected"," ",0,"displaced_outside_prov_org/kandahar_natural_disaster_affected","6",2,NA,NA,"strata","displaced_outside_prov_org"
